Tarih,Saat,Ihlal_Turu
2025-12-15,19:18:15,DIKKAT (TELEFON)
2025-12-15,19:18:17,DIKKAT (TELEFON)
2025-12-15,19:18:18,DIKKAT (TELEFON)
2025-12-15,19:18:21,DIKKAT (TELEFON)
2025-12-15,19:18:27,YORGUNLUK (UYUMA)
2025-12-15,19:18:28,YORGUNLUK (UYUMA)
2025-12-15,19:18:29,YORGUNLUK (UYUMA)
2025-12-15,19:18:39,YORGUNLUK (UYUMA)
2025-12-15,19:18:40,YORGUNLUK (UYUMA)
2025-12-15,19:18:41,YORGUNLUK (UYUMA)
2025-12-15,19:18:41,DIKKAT (TELEFON)
2025-12-15,19:18:41,YORGUNLUK (UYUMA)
2025-12-15,19:18:41,DIKKAT (TELEFON)
2025-12-15,19:18:41,YORGUNLUK (UYUMA)
2025-12-15,19:18:41,DIKKAT (TELEFON)
2025-12-15,19:18:41,YORGUNLUK (UYUMA)
2025-12-15,19:18:41,DIKKAT (TELEFON)
2025-12-15,19:18:50,DIKKAT (TELEFON)
2025-12-15,19:18:51,DIKKAT (TELEFON)
2025-12-15,19:18:55,DIKKAT (TELEFON)
2025-12-15,19:19:00,DIKKAT (TELEFON)
2025-12-15,19:19:01,DIKKAT (TELEFON)
2025-12-15,19:19:02,DIKKAT (TELEFON)
2025-12-15,19:19:04,DIKKAT (TELEFON)
2025-12-15,19:19:05,DIKKAT (TELEFON)
2025-12-15,19:19:07,DIKKAT (TELEFON)
2025-12-15,19:19:08,DIKKAT (TELEFON)
2025-12-15,19:19:09,DIKKAT (TELEFON)
2025-12-15,19:19:10,DIKKAT (TELEFON)
2025-12-15,19:19:11,DIKKAT (TELEFON)
2025-12-15,19:19:12,DIKKAT (TELEFON)
2025-12-15,19:19:13,DIKKAT (TELEFON)
2025-12-15,19:19:14,DIKKAT (TELEFON)
2025-12-15,19:19:17,YORGUNLUK (UYUMA)
2025-12-15,19:19:23,YORGUNLUK (UYUMA)
2025-12-15,19:19:24,YORGUNLUK (UYUMA)
2025-12-15,19:19:54,YORGUNLUK (UYUMA)
2025-12-15,19:19:55,YORGUNLUK (UYUMA)
2025-12-15,19:20:03,DIKKAT (TELEFON)
2025-12-15,19:20:04,DIKKAT (TELEFON)
2025-12-15,19:20:10,YORGUNLUK (UYUMA)
2025-12-15,19:20:11,YORGUNLUK (UYUMA)
2025-12-15,19:20:13,DIKKAT (TELEFON)
2025-12-15,19:20:20,DIKKAT (TELEFON)
2025-12-15,19:20:21,DIKKAT (TELEFON)
2025-12-15,19:20:23,DIKKAT (TELEFON)
2025-12-15,19:20:30,YORGUNLUK (UYUMA)
2025-12-15,19:20:32,YORGUNLUK (UYUMA)
2025-12-15,19:21:00,YORGUNLUK (UYUMA)
2025-12-15,19:21:01,YORGUNLUK (UYUMA)
2025-12-15,19:21:13,DIKKAT (TELEFON)
2025-12-15,19:21:14,DIKKAT (TELEFON)
2025-12-15,19:21:26,DIKKAT (TELEFON)
2025-12-15,19:21:27,DIKKAT (TELEFON)
2025-12-15,19:21:39,DIKKAT (TELEFON)
2025-12-15,19:21:43,DIKKAT (TELEFON)
2025-12-15,19:21:44,DIKKAT (TELEFON)
2025-12-15,19:21:45,DIKKAT (TELEFON)
