Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:19,YORGUNLUK (UYUMA)
2025-12-14,06:27:20,YORGUNLUK (UYUMA)
2025-12-14,06:27:21,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:22,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:22,YORGUNLUK (UYUMA)
2025-12-14,06:27:23,YORGUNLUK (UYUMA)
2025-12-14,06:27:24,YORGUNLUK (UYUMA)
2025-12-14,06:27:25,YORGUNLUK (UYUMA)
2025-12-14,06:27:26,YORGUNLUK (UYUMA)
2025-12-14,06:27:27,YORGUNLUK (UYUMA)
2025-12-14,06:27:28,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:29,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:29,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
